餐廳名稱,地址,餐廳連結,latitude,longitude,distance,st_score,st_price,st_total_com,st_tag
火焰德國豬腳,103台北市大同區寧夏路34-5號 ,https://www.google.com/maps/place/%E7%81%AB%E7%84%B0%E5%BE%B7%E5%9C%8B%E8%B1%AC%E8%85%B3/data=!4m7!3m6!1s0x3442a93b0e0ae27d:0xd81dca389445fd8c!8m2!3d25.0561069!4d121.5154191!16s%2Fg%2F11trf95prr!19sChIJfeIKDjupQjQRjP1FlDjKHdg?authuser=0&hl=zh-TW&rclk=1,25.0561069,121.5128442,0.0643445339737324,4.9,$1-200,43,"['夜市', '盒', '價格', '椒鹽', '塔塔醬', '酸黃瓜', '芥末', '2024年', '酥脆', '柴']"
兩點綠豆沙,103台北市大同區寧夏夜市第16攤 ,https://www.google.com/maps/place/%E5%85%A9%E9%BB%9E%E7%B6%A0%E8%B1%86%E6%B2%99/data=!4m7!3m6!1s0x3442a9c9888cde27:0xfffa2de96343a96c!8m2!3d25.0568224!4d121.5154123!16s%2Fg%2F11p028bybh!19sChIJJ96MiMmpQjQRbKlDY-kt-v8?authuser=0&hl=zh-TW&rclk=1,25.0568224,121.5128374,0.0159151892696034,4.4,,50,"['價格', '牛奶', '冰沙', '現金', '杯', '夏天']"
美華現煮海鮮麵,103台北市大同區寧夏夜市051攤號 ,https://www.google.com/maps/place/%E7%BE%8E%E8%8F%AF%E7%8F%BE%E7%85%AE%E6%B5%B7%E9%AE%AE%E9%BA%B5/data=!4m7!3m6!1s0x3442a99b8ed6c7a1:0xec237f4aaaaa87b4!8m2!3d25.0565858!4d121.5155761!16s%2Fg%2F11n5sdb7hp!19sChIJocfWjpupQjQRtIeqqkp_I-w?authuser=0&hl=zh-TW&rclk=1,25.0565858,121.5130012,0.0240794171529009,4.6,,21,"['甜', '蛤蜊', '小卷', '烏龍麵', '價格']"
寧夏夜市先來厚到章魚燒 NING XIA XIAN LAI HOU DAO TAKOYAKI,103台北市大同區寧夏路007號攤位 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E5%85%88%E4%BE%86%E5%8E%9A%E5%88%B0%E7%AB%A0%E9%AD%9A%E7%87%92+NING+XIA+XIAN+LAI+HOU+DAO+TAKOYAKI/data=!4m7!3m6!1s0x3442a9543d61e58f:0x5bd9a7b6bd217105!8m2!3d25.0568601!4d121.5155804!16s%2Fg%2F11f5yvz2z6!19sChIJj-VhPVSpQjQRBXEhvban2Vs?authuser=0&hl=zh-TW&rclk=1,25.0568601,121.5130055,0.0291547636490021,3.1,$1-200,58,"['熊貓', '海苔', '外送', '花枝', '照燒', '失望', '起司', '口感', '蝦子', '柴魚']"
香酥地瓜球（搬家）至民生西路209號4/18公休一日,103台北市大同區民生西路209號1樓 ,https://www.google.com/maps/place/%E9%A6%99%E9%85%A5%E5%9C%B0%E7%93%9C%E7%90%83%EF%BC%88%E6%90%AC%E5%AE%B6%EF%BC%89%E8%87%B3%E6%B0%91%E7%94%9F%E8%A5%BF%E8%B7%AF209%E8%99%9F4%2F18%E5%85%AC%E4%BC%91%E4%B8%80%E6%97%A5/data=!4m7!3m6!1s0x3442a96d17221cb3:0x87ca3bd1fcc0d0e!8m2!3d25.0572658!4d121.5163452!16s%2Fg%2F11j3v5jgyh!19sChIJsxwiF22pQjQRDg3MH72jfAg?authuser=0&hl=zh-TW&rclk=1,25.0572658,121.5137703,0.1180298300626238,4.2,$,455,"['口感', '炸', '酥脆', '排隊', '夜市', '名', '大包', '量', 'QQ', '有嚼勁']"
寧夏夜市-正港高雄！烤黑輪片,103台北市大同區寧夏路寧夏夜市 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82-%E6%AD%A3%E6%B8%AF%E9%AB%98%E9%9B%84%EF%BC%81%E7%83%A4%E9%BB%91%E8%BC%AA%E7%89%87/data=!4m7!3m6!1s0x3442a99463b12d07:0x89e672a36fb26f08!8m2!3d25.056394!4d121.5153051!16s%2Fg%2F11jzsd929p!19sChIJBy2xY5SpQjQRCG-yb6Ny5ok?authuser=0&hl=zh-TW&rclk=1,25.056394,121.5127302,0.0328456497633881,2.6,,9,['醬汁']
拌伴石頭火鍋,103台北市大同區寧夏路23-3號1樓 ,https://www.google.com/maps/place/%E6%8B%8C%E4%BC%B4%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a900711f6993:0x6ca0602459c11ab2!8m2!3d25.0551286!4d121.5151461!16s%2Fg%2F11ldmxjyt3!19sChIJk2kfcQCpQjQRshrBWSRgoGw?authuser=0&hl=zh-TW&rclk=1,25.0551286,121.5125712,0.1738717636288146,4.9,$200-400,3763,"['爆炒', '寧夏夜市', '爆香', '宵夜', '傳統', '霜降', '培根', '裝潢', '炒鍋', '魚湯']"
寧夏夜市 - 二代鵝肉攤,103台北市大同區寧夏路030攤位 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82+-+%E4%BA%8C%E4%BB%A3%E9%B5%9D%E8%82%89%E6%94%A4/data=!4m7!3m6!1s0x3442a96ac0a2e77d:0x290c8562214eb6e!8m2!3d25.0568345!4d121.5155246!16s%2Fg%2F1tftnsvr!19sChIJfeeiwGqpQjQRbusUIlbIkAI?authuser=0&hl=zh-TW&rclk=1,25.0568345,121.5129497,0.0231157560555627,3.9,$1-200,102,"['腸', '冬粉', '下水湯', '價格', '碗', '柔面', '麵線', '皮', '鴨', '鈔票']"
轟炸大魷魚 寧夏夜市079,103台北市大同區寧夏路58號 ,https://www.google.com/maps/place/%E8%BD%9F%E7%82%B8%E5%A4%A7%E9%AD%B7%E9%AD%9A+%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82079/data=!4m7!3m6!1s0x3442a900276859f9:0x8d468f1722f53d7f!8m2!3d25.0566408!4d121.5153526!16s%2Fg%2F11vppwjmdh!19sChIJ-VloJwCpQjQRfz31IhePRo0?authuser=0&hl=zh-TW&rclk=1,25.0566408,121.5127777,0.0050965220824386,4.6,$1-200,8,"['炸魷魚', '洋蔥', '油']"
魷皇駕到,103台北市大同區寧夏路80號攤位號寧夏夜市 ,https://www.google.com/maps/place/%E9%AD%B7%E7%9A%87%E9%A7%95%E5%88%B0/data=!4m7!3m6!1s0x3442a928946839b7:0x606d527a6b771258!8m2!3d25.0562572!4d121.5153568!16s%2Fg%2F11s5dyp6__!19sChIJtzlolCipQjQRWBJ3a3pSbWA?authuser=0&hl=zh-TW&rclk=1,25.0562572,121.5127819,0.0474611812829976,3.8,$1-200,97,"['魷魚', '洋蔥', '椒鹽', '口味', '口感', '排', '孜然', '檸檬汁', '調味', '夜市']"
寧夏夜市 蛤！什麼蛤,103台北市大同區寧夏路35號 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82+%E8%9B%A4%EF%BC%81%E4%BB%80%E9%BA%BC%E8%9B%A4/data=!4m7!3m6!1s0x3442a900022c0807:0x1f6636e57de863f9!8m2!3d25.0563826!4d121.5156287!16s%2Fg%2F11vst6qnhl!19sChIJBwgsAgCpQjQR-WPofeU2Zh8?authuser=0&hl=zh-TW&rclk=1,25.0563826,121.5130538,0.0428884212517468,4.8,$1-200,11,"['蛤仔', '蒜', '可愛']"
寧夏素食小館,103台北市大同區寧夏路36號 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E7%B4%A0%E9%A3%9F%E5%B0%8F%E9%A4%A8/data=!4m7!3m6!1s0x3442a96b24160afd:0x33fa2a8bb8b493af!8m2!3d25.0561428!4d121.5151479!16s%2Fg%2F1pzt0bnlh!19sChIJ_QoWJGupQjQRr5O0uIsq-jM?authuser=0&hl=zh-TW&rclk=1,25.0561428,121.512573,0.0639631689379092,3.9,$1-200,295,"['油飯', '羹', '筍', '小菜', '滷味', '夜市', '素鹵飯', '湯麵', '苦瓜', '地瓜葉']"
寧夏鐵板燒,103台北市大同區寧夏路26號 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E9%90%B5%E6%9D%BF%E7%87%92/data=!4m7!3m6!1s0x3442a96abb408fd7:0xa9086702b763c400!8m2!3d25.05551!4d121.515029!16s%2Fg%2F1tdntlh4!19sChIJ149Au2qpQjQRAMRjtwJnCKk?authuser=0&hl=zh-TW&rclk=1,25.0560919,121.5136972,0.1127811412134847,3.5,$200-400,207,"['雞腿', '蒜', '煎', '沙朗', '套餐', '炒', '夜市', '冬瓜茶', '副菜', '碗']"
大昌沙拉船,103台北市大同區寧夏路003攤位 ,https://www.google.com/maps/place/%E5%A4%A7%E6%98%8C%E6%B2%99%E6%8B%89%E8%88%B9/data=!4m7!3m6!1s0x3442a96ad4acad1d:0xe1b2ba8333374ed1!8m2!3d25.0569245!4d121.5155885!16s%2Fg%2F1thg8446!19sChIJHa2s1GqpQjQR0U43M4O6suE?authuser=0&hl=zh-TW&rclk=1,25.0569245,121.5130136,0.0348285843573256,4.0,$1-200,143,"['美乃滋', '炸', '口感', '火腿', '廟口', '滷蛋', '排隊', '營養', '美食', '衛生']"
寧夏塩酥雞.炭烤,103台北市大同區寧夏路30-4號 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A1%A9%E9%85%A5%E9%9B%9E.%E7%82%AD%E7%83%A4/data=!4m7!3m6!1s0x3442a96b3c803009:0x3db88a8cc25f765e!8m2!3d25.0557873!4d121.5151104!16s%2Fg%2F11h1ygdyc6!19sChIJCTCAPGupQjQRXnZfwoyKuD0?authuser=0&hl=zh-TW&rclk=1,25.0557873,121.5125355,0.1027481239091831,3.2,$1-200,118,"['鹽酥雞', '錢', '價格', '寧夏夜市', '甜不辣', '豆腐', '龍珠', '柳葉魚', '肉卷', '籃子']"
寧夏夜市魷魚焿,103台北市大同區 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E9%AD%B7%E9%AD%9A%E7%84%BF/data=!4m7!3m6!1s0x3442a90726fe8a91:0x19281f9d68cc0984!8m2!3d25.0564543!4d121.5153197!16s%2Fg%2F11fd4v15mk!19sChIJkYr-JgepQjQRhAnMaJ0fKBk?authuser=0&hl=zh-TW&rclk=1,25.0564722,121.512846,0.0243239783109758,3.5,$1-200,27,"['米粉', '羹', '碗', '餐', '勾芡', '炒', '辣椒']"
蛋包瓜仔赤肉湯,103台北市大同區寧夏路76號 ,https://www.google.com/maps/place/%E8%9B%8B%E5%8C%85%E7%93%9C%E4%BB%94%E8%B5%A4%E8%82%89%E6%B9%AF/data=!4m7!3m6!1s0x3442a96abb252c59:0x97abd642b40eef20!8m2!3d25.0561685!4d121.515335!16s%2Fg%2F1tfbw4f0!19sChIJWSwlu2qpQjQRIO8OtELWq5c?authuser=0&hl=zh-TW&rclk=1,25.0561685,121.5127601,0.057356304277912,3.6,$1-200,88,"['滷肉飯', '價格', '咖哩飯', '肉羹', '蝦仁', '碗', '夜市', '鴨蛋', '蛋殼', '香菇']"
小巷一沙拉船,103台北市大同區寧夏路33號 ,https://www.google.com/maps/place/%E5%B0%8F%E5%B7%B7%E4%B8%80%E6%B2%99%E6%8B%89%E8%88%B9/data=!4m7!3m6!1s0x3442a926557978bf:0x3491d7bf7d8ae61a!8m2!3d25.0561123!4d121.5154393!16s%2Fg%2F11ql18nsy7!19sChIJv3h5VSapQjQRGuaKfb_XkTQ?authuser=0&hl=zh-TW&rclk=1,25.0561123,121.5128644,0.0639582894189904,3.8,$1-200,34,"['炸麵包', '夜市', '香', '番茄', '排隊', '三明治', '口感']"
王家米粉炒,103台北市大同區寧夏路054攤位號 ,https://www.google.com/maps/place/%E7%8E%8B%E5%AE%B6%E7%B1%B3%E7%B2%89%E7%82%92/data=!4m7!3m6!1s0x3442a96adf790c3f:0x66cccf7002699d8c!8m2!3d25.056588!4d121.5155788!16s%2Fg%2F11g8_2tfwl!19sChIJPwx532qpQjQRjJ1pAnDPzGY?authuser=0&hl=zh-TW&rclk=1,25.0564926,121.5129366,0.0260439711940892,3.4,$1-200,77,"['羹', '甜', '炒米粉', '魷魚', '碗', '夜市', '醋', '鮮', '臭', '湯']"
福州胡椒餅攤,103台北市大同區寧夏路45號 ,https://www.google.com/maps/place/%E7%A6%8F%E5%B7%9E%E8%83%A1%E6%A4%92%E9%A4%85%E6%94%A4/data=!4m7!3m6!1s0x3442a96ac2af41dd:0x5697607add8876ba!8m2!3d25.0571848!4d121.5156322!16s%2Fg%2F11f08db253!19sChIJ3UGvwmqpQjQRunaI3Xpgl1Y?authuser=0&hl=zh-TW&rclk=1,25.0571848,121.5130573,0.0615606986738396,3.7,$1-200,200,"['赤肉', '口感', '皮', '肉餡', '肥', '蔥', '肉汁', '冷', '有嚼勁', '油']"
詹記水果,103台北市大同區寧夏路27號 ,https://www.google.com/maps/place/%E8%A9%B9%E8%A8%98%E6%B0%B4%E6%9E%9C/data=!4m7!3m6!1s0x3442a9a3e3834705:0xe11c988db0a3f722!8m2!3d25.0557709!4d121.5152351!16s%2Fg%2F11gvx_7jg5!19sChIJBUeD46OpQjQRIvejsI2YHOE?authuser=0&hl=zh-TW&rclk=1,25.0557709,121.5126602,0.1021573912983503,4.6,,47,"['番茄', '薑味', '價格', '醬油', '沾醬', '鬼', '仙草', '牛奶', '杯', '坐']"
李家鄉魯味,103台北市大同區寧夏路 ,https://www.google.com/maps/place/%E6%9D%8E%E5%AE%B6%E9%84%89%E9%AD%AF%E5%91%B3/data=!4m7!3m6!1s0x3442a96ab954141d:0x85c5265bd112edb3!8m2!3d25.0558289!4d121.5152597!16s%2Fg%2F11f3n1pt_j!19sChIJHRRUuWqpQjQRs-0S0VsmxYU?authuser=0&hl=zh-TW&rclk=1,25.0558289,121.5126848,0.0954827458734555,3.5,$1-400,83,"['豬肝', '滷味', '麻油', '鴨', '豬血糕', '魚皮', '舌', '腰子', '酸菜', '杏鮑菇']"
越春真越式傳統料理,103台北市大同區重慶北路二段57巷19號 ,https://www.google.com/maps/place/%E8%B6%8A%E6%98%A5%E7%9C%9F%E8%B6%8A%E5%BC%8F%E5%82%B3%E7%B5%B1%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a9791c95ebeb:0x720ec6c1bb8f55ce!8m2!3d25.0558119!4d121.5150152!16s%2Fg%2F11h5z_9y8h!19sChIJ6-uVHHmpQjQRzlWPu8HGDnI?authuser=0&hl=zh-TW&rclk=1,25.0558119,121.5124403,0.1029872432523112,4.0,$200-400,1366,"['河粉', '米線', '炒飯', '套餐', '夜市', '酸奶', '道', '牛肉湯', '烤肉', '拼盤']"
暴暴龍迷你火鍋城,10356台北市大同區寧夏路58號 ,https://www.google.com/maps/place/%E6%9A%B4%E6%9A%B4%E9%BE%8D%E8%BF%B7%E4%BD%A0%E7%81%AB%E9%8D%8B%E5%9F%8E/data=!4m7!3m6!1s0x3442a96adeefd3d1:0x888a14ff69a431e2!8m2!3d25.0566808!4d121.5153641!16s%2Fg%2F1vd92sky!19sChIJ0dPv3mqpQjQR4jGkaf8Uiog?authuser=0&hl=zh-TW&rclk=1,25.0566808,121.5127892,0.0005317139079673,4.1,$200-400,503,"['黑蒜', '蚵仔煎', '楊桃', '培根', '夜市', '冬瓜茶', '蟑螂', '炒飯', '滷汁', '烏龍茶']"
柴進來雞蛋糕-寧夏夜市（4/25-5/1休息7天喔）,103台北市大同區寧夏路32號水羿云飛和甘記冰店中間寧夏第一大樓裡面電梯旁 ,https://www.google.com/maps/place/%E6%9F%B4%E9%80%B2%E4%BE%86%E9%9B%9E%E8%9B%8B%E7%B3%95-%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%EF%BC%884%2F25-5%2F1%E4%BC%91%E6%81%AF7%E5%A4%A9%E5%96%94%EF%BC%89/data=!4m7!3m6!1s0x3442af8a66d955a7:0x1f49ccd385414d54!8m2!3d25.0559543!4d121.5151416!16s%2Fg%2F11h9bhp2gk!19sChIJp1XZZoqvQjQRVE1BhdPMSR8?authuser=0&hl=zh-TW&rclk=1,25.0559543,121.5125667,0.0840623799323281,4.9,,651,"['流沙', '內餡', '口味', '狗', '榛果巧克力', '花生', '麻糬', '三重奏', '卡士達', '香草']"
寧夏夜市范太太Mrs.Fan香菇肉焿,103台北市大同區寧夏路038攤位號 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E8%8C%83%E5%A4%AA%E5%A4%AAMrs.Fan%E9%A6%99%E8%8F%87%E8%82%89%E7%84%BF/data=!4m7!3m6!1s0x3442a96adf6ef35f:0x4122694c1fc59cac!8m2!3d25.0566371!4d121.5152443!16s%2Fg%2F11b_2mqry_!19sChIJX_Nu32qpQjQRrJzFH0xpIkE?authuser=0&hl=zh-TW&rclk=1,25.0566371,121.5126694,0.0132283889096478,2.6,,38,"['肉飯', '湯', '草菇', '羹', '排骨']"
郭董十全藥燉排骨,10356台北市大同區寧夏路58號 ,https://www.google.com/maps/place/%E9%83%AD%E8%91%A3%E5%8D%81%E5%85%A8%E8%97%A5%E7%87%89%E6%8E%92%E9%AA%A8/data=!4m7!3m6!1s0x3442a96adeefd3d1:0x9b4d0cd68f1841df!8m2!3d25.0566808!4d121.5153641!16s%2Fg%2F11b6zxlrlv!19sChIJ0dPv3mqpQjQR30EYj9YMTZs?authuser=0&hl=zh-TW&rclk=1,25.0566808,121.5127892,0.0005317139079673,2.8,$1-200,391,"['蚵仔煎', '麻油', '蝦仁', '炒飯', '滷肉飯', '腰子', '紅油抄手', '麵線', '羊肉', '豬肝湯']"
寧夏月氏激蛋蔥油餅NINGXIA YUE SHI SCALLIONS PANCAKE,103台北市大同區寧夏路62號寧夏路45巷1號對面學校側 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E6%9C%88%E6%B0%8F%E6%BF%80%E8%9B%8B%E8%94%A5%E6%B2%B9%E9%A4%85NINGXIA+YUE+SHI+SCALLIONS+PANCAKE/data=!4m7!3m6!1s0x3442a96ade730575:0x9ed28c8bca447b06!8m2!3d25.0566069!4d121.5155639!16s%2Fg%2F11g9drbnc4!19sChIJdQVz3mqpQjQRBntEyouM0p4?authuser=0&hl=zh-TW&rclk=1,25.0566069,121.512989,0.0219647504126513,3.6,,194,"['醬料', '九層塔', '炸', '口感', '蝦餅', '酥脆', '排隊', '口味', '冷', '刷']"
FUN SUN G,10358台北市大同區寧夏夜市071號攤位 ,https://www.google.com/maps/place/FUN+SUN+G/data=!4m7!3m6!1s0x3442a935b4ba9941:0x559ca771b0a05ecf!8m2!3d25.0562122!4d121.515457!16s%2Fg%2F11fd4l9fj1!19sChIJQZm6tDWpQjQRz16gsHGnnFU?authuser=0&hl=zh-TW&rclk=1,25.0562122,121.5128821,0.0532715179012029,3.5,$1-200,160,"['雞排', '炸', '汁', '孜然', '粉', '辣', '醃', '夜市', '熊貓', '梅']"
客家放山雞,103台北市大同區寧夏路50號 ,https://www.google.com/maps/place/%E5%AE%A2%E5%AE%B6%E6%94%BE%E5%B1%B1%E9%9B%9E/data=!4m7!3m6!1s0x3442a96b20a0e655:0xbe967c9d4dc9c215!8m2!3d25.0564644!4d121.5151876!16s%2Fg%2F1tnk_2jw!19sChIJVeagIGupQjQRFcLJTZ18lr4?authuser=0&hl=zh-TW&rclk=1,25.0564644,121.5126127,0.0302916396168577,3.0,$200-400,310,"['竹筍', '白斬雞', '雞肉飯', '湯圓', '滷肉飯', '誇張', '夜市', '煎蛋', '便當', '料']"
季哲廣東粥,103台北市大同區寧夏路035攤位 ,https://www.google.com/maps/place/%E5%AD%A3%E5%93%B2%E5%BB%A3%E6%9D%B1%E7%B2%A5/data=!4m7!3m6!1s0x3442a9400f1e52af:0x3ff3e1d374515371!8m2!3d25.0565643!4d121.5154882!16s%2Fg%2F11h011q4p!19sChIJr1IeD0CpQjQRcVNRdNPh8z8?authuser=0&hl=zh-TW&rclk=1,25.0565643,121.5129133,0.0183671849219739,4.5,$1-200,81,"['碗', '價格', '皮蛋瘦肉粥', '煮', '夜市', '外帶', '吻仔魚', '配料', '夫妻', '胡椒']"
珍百味,103台北市大同區太原路240號 ,https://www.google.com/maps/place/%E7%8F%8D%E7%99%BE%E5%91%B3/data=!4m7!3m6!1s0x3442a96af78ed329:0x3a1858aea708d6f1!8m2!3d25.0568331!4d121.5168736!16s%2Fg%2F1th0kln2!19sChIJKdOO92qpQjQR8dYIp65YGDo?authuser=0&hl=zh-TW&rclk=1,25.0568331,121.5142987,0.1531879449130881,4.4,$1-200,71,"['炒飯', '便當', 'cp值', '湯', '雞腿', '燴飯', '牛腩', '滷', '蛤蜊', '佛']"
阿諾可麗餅,103台北市大同區寧夏路058攤位號 ,https://www.google.com/maps/place/%E9%98%BF%E8%AB%BE%E5%8F%AF%E9%BA%97%E9%A4%85/data=!4m7!3m6!1s0x3442a96adf9c2e15:0x894ef80b6ecaceef!8m2!3d25.056486!4d121.5153174!16s%2Fg%2F11ggw8pzvp!19sChIJFS6c32qpQjQR787Kbgv4Tok?authuser=0&hl=zh-TW&rclk=1,25.056486,121.5127425,0.0226069966827693,3.8,,111,"['價格', '草莓', '聖代', '香蕉', '酥脆', '支付', '巧克力醬', '花生醬', '煉乳', '根']"
花后-花枝燒,台北市大同區寧夏路81號攤位寧夏夜市 ,https://www.google.com/maps/place/%E8%8A%B1%E5%90%8E-%E8%8A%B1%E6%9E%9D%E7%87%92/data=!4m7!3m6!1s0x3442a94f09fb80bd:0x2e06e0f37e85f952!8m2!3d25.0563776!4d121.5154103!16s%2Fg%2F11k4m5zr4f!19sChIJvYD7CU-pQjQRUvmFfvPgBi4?authuser=0&hl=zh-TW&rclk=1,25.0563776,121.5128354,0.034435315514271,4.5,,23,"['炸', '整塊', '椒鹽', '甜', '選擇', '芥末', '蜂蜜', '夜市', '調味', '辣']"
古早味愛玉,103台北市大同區寧夏夜市137攤 ,https://www.google.com/maps/place/%E5%8F%A4%E6%97%A9%E5%91%B3%E6%84%9B%E7%8E%89/data=!4m7!3m6!1s0x3442a90e94c09337:0x7ab5f7de548f1b2a!8m2!3d25.0563583!4d121.5154108!16s%2Fg%2F11t4bx13t9!19sChIJN5PAlA6pQjQRKhuPVN73tXo?authuser=0&hl=zh-TW&rclk=1,25.0563583,121.5128359,0.0365611810374323,4.9,,9,"['阿姨', '酸甜', '檸檬']"
詹記鷄脚翅 錦西店,103台北市大同區錦西街63號 ,https://www.google.com/maps/place/%E8%A9%B9%E8%A8%98%E9%B7%84%E8%84%9A%E7%BF%85+%E9%8C%A6%E8%A5%BF%E5%BA%97/data=!4m7!3m6!1s0x3442a9403d063851:0xffa38abf6099a034!8m2!3d25.0598469!4d121.5157279!16s%2Fg%2F1td62_vh!19sChIJUTgGPUCpQjQRNKCZYL-Ko_8?authuser=0&hl=zh-TW&rclk=1,25.0590659,121.512799,0.2636766080004422,3.8,$,498,"['滷味', '鴨', '酸菜', '花生', '甜不辣', '米血', '雞翅', '豆干', '大腸', '蒟蒻']"
寧夏老牌豬血湯,103台北市大同區寧夏路29-33號 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E8%80%81%E7%89%8C%E8%B1%AC%E8%A1%80%E6%B9%AF/data=!4m7!3m6!1s0x3442a96b235f799b:0x86f481d185f40fb!8m2!3d25.0559046!4d121.5151543!16s%2Fg%2F11c6w05mjp!19sChIJm3lfI2upQjQR-0BfGB1Ibwg?authuser=0&hl=zh-TW&rclk=1,25.0559046,121.5125794,0.0890666906339213,2.2,$1-200,126,"['臭豆腐', '滷肉飯', '豬腳', '泡菜', '炒麵', '燉排骨', '炒米粉', '夜市', '麻醬麵', '油豆腐']"
古早味糖葫蘆,103台北市大同區寧夏路061號攤位 ,https://www.google.com/maps/place/%E5%8F%A4%E6%97%A9%E5%91%B3%E7%B3%96%E8%91%AB%E8%98%86/data=!4m7!3m6!1s0x3442a96adfc00ac5:0x98a8d1175ad4f6b9!8m2!3d25.0563161!4d121.5154362!16s%2Fg%2F11hb3m6yhq!19sChIJxQrA32qpQjQRufbUWhfRqJg?authuser=0&hl=zh-TW&rclk=1,25.0563161,121.5128613,0.0415724193932466,3.3,$1-200,68,"['草莓', '價錢', '夜市', '糖霜', '色素', '語氣', '酸甜', '竹籤', '衛生紙', '橘子']"
無骨雞腿排,103台北市大同區寧夏路109號攤位 ,https://www.google.com/maps/place/%E7%84%A1%E9%AA%A8%E9%9B%9E%E8%85%BF%E6%8E%92/data=!4m7!3m6!1s0x3442a946b5cef8a3:0x980e7f42d3e16c9d!8m2!3d25.0558496!4d121.5153182!16s%2Fg%2F11fd7gg0x2!19sChIJo_jOtUapQjQRnWzh00J_Dpg?authuser=0&hl=zh-TW&rclk=1,25.0558496,121.5127433,0.0927225777474728,2.9,$1-200,128,"['價格', '煎', '夜市', '冷', '檸檬', '海鹽', '苦', '柴', '雞腿肉', '口味']"
大鐤肉焿,103台北市大同區寧夏路18號攤位號 ,https://www.google.com/maps/place/%E5%A4%A7%E9%90%A4%E8%82%89%E7%84%BF/data=!4m7!3m6!1s0x3442a96abf283ebf:0xd3d23c57a8abadd5!8m2!3d25.054766!4d121.5148032!16s%2Fg%2F11c61h9_ds!19sChIJvz4ov2qpQjQR1a2rqFc80tM?authuser=0&hl=zh-TW&rclk=1,25.054766,121.5122283,0.2200444273562808,2.6,$1-200,58,"['咖哩', '蛋', '蝦仁', '寧夏夜市', '羹', '盤', '雞肉飯', '滷肉飯', '碗', '冬菜']"
隨緣素食,103台北市大同區平陽街44號 ,https://www.google.com/maps/place/%E9%9A%A8%E7%B7%A3%E7%B4%A0%E9%A3%9F/data=!4m7!3m6!1s0x3442a96b3ee8ca35:0xbece20683569c032!8m2!3d25.0553247!4d121.5153421!16s%2Fg%2F11xk1wyhh!19sChIJNcroPmupQjQRMsBpNWggzr4?authuser=0&hl=zh-TW&rclk=1,25.0557337,121.5126701,0.106128128764322,4.4,$1-200,320,"['滷味', '炒麵', '小菜', '泡菜炒飯', '味增湯', '餛飩', '茄汁', '炒青菜', '當歸', '香椿']"
魚鮮生綜合生魚片,103台北市大同區民生西路198號12號，屈臣氏正對面寧夏夜市北側 ,https://www.google.com/maps/place/%E9%AD%9A%E9%AE%AE%E7%94%9F%E7%B6%9C%E5%90%88%E7%94%9F%E9%AD%9A%E7%89%87/data=!4m7!3m6!1s0x3442a93faaaaaaab:0x76efe0e0f07eb652!8m2!3d25.0569902!4d121.5162686!16s%2Fg%2F1wzt01v5!19sChIJq6qqqj-pQjQRUrZ-8ODg73Y?authuser=0&hl=zh-TW&rclk=1,25.0569902,121.5136937,0.0973047898182234,3.6,,45,"['價格', '鮭魚', '夜市', '軟絲', '甜蝦']"
雙連滷味,103台北市大同區民生西路159號 ,https://www.google.com/maps/place/%E9%9B%99%E9%80%A3%E6%BB%B7%E5%91%B3/data=!4m7!3m6!1s0x3442a96a677818ef:0x97336945b63dbb73!8m2!3d25.0573818!4d121.5176086!16s%2Fg%2F11bwhb43n8!19sChIJ7xh4Z2qpQjQRc7s9tkVpM5c?authuser=0&hl=zh-TW&rclk=1,25.0573818,121.5150337,0.2392483629464787,4.0,$1-200,181,"['醬', '雞腸', '米血', '豆皮', '蒟蒻', '海帶', '香油', '手套', '甜不辣', '豆乾']"
